,출생,사망,전입,전출,혼인,이혼,cluster,cluster_s,위도,경도,동
202,86,110,2874,3514,87,29,2,0,37.5560495,126.9071099,망원1동
203,82,78,2387,2737,72,35,0,1,37.5617831,126.90143,망원2동
204,121,132,3881,4333,81,56,2,0,37.5783412,126.8946894389134,상암동
205,133,100,4514,4149,78,29,2,0,37.5484751,126.9157372,서강동
206,83,87,5455,5669,112,33,1,0,37.5557969,126.9142709,서교동
207,75,105,2989,3266,83,34,2,0,37.5633684,126.907893603741,성산1동
208,213,209,5529,6159,146,55,1,2,37.5685917,126.908993283842,성산2동
209,156,114,3111,3681,96,36,2,0,37.5484751,126.9157372,신수동
210,310,93,3558,3994,148,28,2,2,37.5471157,126.9521891,아현동
211,57,62,2877,3396,80,20,2,1,37.565249,126.9226214,연남동
212,61,55,6807,2133,69,20,2,1,37.5553168,126.9465406,염리동
213,160,78,2845,3021,90,32,2,0,37.5428,126.94372,용강동
214,90,65,2921,3394,93,19,2,1,37.5505137,126.9054768,합정동
215,124,50,1682,2037,31,14,0,1,37.5744472,126.9184977,남가좌1동
216,157,147,3814,3930,97,52,2,0,37.5784404,126.9238857,남가좌2동
217,118,87,1848,2205,41,21,0,1,37.5733702,126.9115745,북가좌1동
218,141,182,3449,4215,96,68,2,2,37.5814047,126.9087115,북가좌2동
219,147,67,2284,2860,59,15,0,1,37.55943405,126.9569920287671,북아현동
220,55,68,6664,5957,82,22,1,0,37.5591393,126.9434279,신촌동
221,138,211,5492,6499,137,49,1,2,37.5913488,126.9398535,연희동
222,108,116,2126,2555,83,21,0,0,37.5666295,126.9246236,천연동
223,84,121,2926,3025,84,23,2,0,37.5647995,126.9547025,충현동
224,99,155,2604,2736,69,25,0,0,37.5988595,126.9471727020396,홍은1동
225,108,162,3552,3840,94,37,2,0,37.5801524,126.9341838,홍은2동
226,119,107,2891,3359,72,38,2,0,37.5960059,126.9388009,홍제1동
227,71,85,1502,1898,53,22,0,1,37.5861065,126.9493764,홍제2동
228,64,118,1650,1945,44,22,0,1,37.5937788,126.9497219,홍제3동
229,115,82,2447,2940,64,30,0,0,37.4621928,127.0526352,내곡동
230,170,77,7591,5451,97,37,1,2,37.50508325,127.0133939073663,반포1동
231,78,33,1950,2206,19,16,0,1,37.50457255000001,126.9945102758296,반포2동
232,129,55,2887,3038,43,20,2,1,37.5083279,127.0032639,반포3동
233,110,66,2916,3091,64,24,2,1,37.4990959,127.0000948,반포4동
234,30,24,751,10467,27,6,2,1,37.5100644,127.0195318,반포본동
235,96,63,2827,3185,81,27,2,1,37.483853,126.9944125,방배1동
