,동,1인가구,etc,합계,비율,,,,,,,,,,,,,
355,종암동,5568,10700,16268,34.22670273,,,,,,,,,,,,,
356,중계1동,1070,7572,8642,12.3813932,,,,,,,,,,,,,
357,중계2.3동,4119,10240,14359,28.68584163,,,,,,,,,,,,,
358,중계4동,2081,5784,7865,26.45899555,,,,,,,,,,,,,
359,중계본동,1105,6764,7869,14.04244504,,,,,,,,,,,,,
360,중곡1동,3282,4063,7345,44.68345813,,,,,,,,,,,,,
361,중곡2동,3780,5835,9615,39.31357254,,,,,,,,,,,,,
362,중곡3동,3144,4407,7551,41.63686929,,,,,,,,,,,,,
363,중곡4동,3747,8183,11930,31.40821459,,,,,,,,,,,,,
364,중림동,1627,3349,4976,32.69694534,,,,,,,,,,,,,
365,중앙동,5565,3317,8882,62.65480748,,,,,,,,,,,,,
366,중화1동,2353,5764,8117,28.98854256,,,,,,,,,,,,,
367,중화2동,5455,6727,12182,44.7791824,,,,,,,,,,,,,
368,증산동,1736,4430,6166,28.15439507,,,,,,,,,,,,,
369,진관동,4742,15247,19989,23.72304768,,,,,,,,,,,,,
370,창1동,2919,7184,10103,28.8924082,,,,,,,,,,,,,
371,창2동,2889,8529,11418,25.30215449,,,,,,,,,,,,,
372,창3동,1901,4018,5919,32.11691164,,,,,,,,,,,,,
373,창4동,2256,7728,9984,22.59615385,,,,,,,,,,,,,
374,창5동,2347,7207,9554,24.56562696,,,,,,,,,,,,,
375,창신1동,1069,1269,2338,45.72284003,,,,,,,,,,,,,
376,창신2동,1288,2196,3484,36.96900115,,,,,,,,,,,,,
377,창신3동,613,1982,2595,23.62235067,,,,,,,,,,,,,
378,천연동,2388,4798,7186,33.23128305,,,,,,,,,,,,,
379,천호1동,3749,7652,11401,32.88308043,,,,,,,,,,,,,
380,천호2동,6378,9323,15701,40.62161646,,,,,,,,,,,,,
381,천호3동,5205,7107,12312,42.27582846,,,,,,,,,,,,,
382,청구동,1924,3840,5764,33.3795975,,,,,,,,,,,,,
383,청담동,3203,7051,10254,31.2365906,,,,,,,,,,,,,
384,청량리동,3236,5416,8652,37.40175682,,,,,,,,,,,,,
385,청룡동,13435,7304,20739,64.78132986,,,,,,,,,,,,,
386,청림동,1403,4525,5928,23.66734143,,,,,,,,,,,,,
387,청운효자동,1378,3281,4659,29.57716248,,,,,,,,,,,,,
388,청파동,5218,4611,9829,53.0878014,,,,,,,,,,,,,
389,충현동,3880,5228,9108,42.59991217,,,,,,,,,,,,,
