,주민센터,주소,위도,경도
306,상도2동 주민센터,서울특별시 동작구 상도로 211,37.50545095,126.94230610074963
307,상도3동 주민센터,서울특별시 동작구 성대로2길 11,37.4991155,126.93136741129118
308,상도4동 주민센터,서울특별시 동작구 성대로29길 53,37.4998253,126.9388527
309,흑석동 주민센터,서울특별시 동작구 흑석한강로 11,37.5058049,126.9666400153883
310,사당1동 주민센터,서울특별시 동작구 동작대로17길 28,37.4828484,126.9792285
311,사당2동 주민센터,서울특별시 동작구 동작대로29길 52,37.4918913,126.9766919
312,사당3동 주민센터,서울특별시 동작구 사당로17길 86,37.4867741,126.9713152
313,사당4동 주민센터,서울특별시 동작구 사당로16아길 6,37.4807808,126.9689749
314,사당5동 주민센터,서울특별시 동작구 사당로2가길 219,37.4856628,126.9669792
315,대방동 주민센터,서울특별시 동작구 여의대방로44길 20,37.5092532,126.9284117
316,신대방1동 주민센터,서울특별시 동작구 신대방길 72,37.4881887,126.9101357
317,신대방2동 주민센터,서울특별시 동작구 여의대방로24길 106,37.499102,126.9260285
318,낙성대동 주민센터,서울특별시 관악구 낙성대로4가길 5,37.47627505,126.9584078
319,보라매동 주민센터,서울특별시 관악구 봉천로 279-8,37.4821788,126.950987
320,성현동 주민센터,서울특별시 관악구 구암길 38,37.4894094,126.9482011
321,은천동 주민센터,서울특별시 관악구 봉천로33나길 30,37.48524725,126.9424181539992
322,인헌동 주민센터,서울특별시 관악구 남부순환로246가길 20,37.4751124,126.9652287
323,중앙동 주민센터,서울특별시 관악구 양녕로6다길 7,37.484114,126.94979420474712
324,청룡동 주민센터,서울특별시 관악구 쑥고개로 44,37.47910325,126.94163714999999
325,청림동 주민센터,서울특별시 관악구 관악로40길 39,37.4918207,126.9586072
