,출생비_k,사망비_k,혼인비_k,이혼비_k,전입_s,전출_s,동,cluster_rate
288,0.003252914,0.006993765,0.003090268,0.001897533,-0.669366346,-0.548118145,마천2동,1
289,0.006319591,0.003861972,0.004513993,0.00155482,-0.263491161,-0.031348623,문정1동,2
290,0.006342055,0.002807139,0.007762953,0.001594178,1.652462109,2.079327889,문정2동,0
291,0.004045204,0.003595736,0.004045204,0.001797868,-0.664918399,-0.621850769,방이1동,1
292,0.005372683,0.003556565,0.006091563,0.00189179,1.649126149,1.548452995,방이2동,0
293,0.005485919,0.003590784,0.005851647,0.001795392,0.934674625,1.633726378,삼전동,0
294,0.005946135,0.002988966,0.00664568,0.001526281,1.123712382,1.719640914,석촌동,0
295,0.007351088,0.003402504,0.006636982,0.001302193,0.568274971,1.086822652,송파1동,0
296,0.00496732,0.004026144,0.002718954,0.00130719,-0.552051738,0.157791587,송파2동,2
297,0.005478949,0.004587637,0.003014733,0.001494259,0.889639159,1.544606075,오금동,0
298,0.002566105,0.00262189,0.001450407,0.000948343,-0.843392282,-0.871900538,오륜동,2
299,0.006952792,0.001296283,0.001673384,0.000730632,5.451565039,0.627756922,위례동,0
300,0.004845322,0.002006938,0.001834915,0.000659423,0.445956422,0.901529362,잠실2동,0
301,0.004968291,0.002747172,0.001695064,0.00116901,0.569386958,1.056047296,잠실3동,0
302,0.005306161,0.002441773,0.001878287,0.000422615,-0.503124318,-0.575687735,잠실4동,2
303,0.005672658,0.002627336,0.003343882,0.000955395,-0.701613964,-0.757134106,잠실6동,2
304,0.003571053,0.004411301,0.001890558,0.001155341,-1.313206708,-1.506001107,잠실7동,1
305,0.005126551,0.00376425,0.00469635,0.0018642,1.103140626,1.445227321,잠실본동,0
306,0.007163324,0.004229772,0.004604994,0.001705553,0.599966595,0.988085051,장지동,0
307,0.005962187,0.005413038,0.003922492,0.002039696,-1.06856961,-0.816761359,풍납1동,1
308,0.005833975,0.003889317,0.003848803,0.000972329,-0.042205786,0.237294591,풍납2동,2
309,0.003273108,0.002651218,0.002749411,0.00121105,-0.002730255,0.355907943,목1동,2
310,0.005967347,0.004056455,0.004827517,0.001408026,0.473756093,0.689307635,목2동,0
311,0.007177471,0.004708787,0.004891652,0.001462924,-0.099473107,0.119322392,목3동,2
312,0.00261231,0.003878884,0.002374827,0.001662379,-0.194547979,-0.074305891,목4동,1
313,0.002388962,0.002583979,0.001267613,0.00051192,0.411484831,0.921405113,목5동,2
314,0.003922145,0.006128352,0.004608521,0.002598421,-0.533703956,-0.546835839,신월1동,1
315,0.004864996,0.005643396,0.003356847,0.002091948,-0.629334821,-0.519907402,신월2동,1
