,영업이익율,EBITDA마진율
865,-0.036,-0.045
866,0.002,0.002
867,-0.023,-0.033
868,-0.013,-0.011
869,-0.028,-0.034
870,0.033,0.027
871,-0.042,-0.053
872,-0.029,-0.029
873,-0.003,0.002
874,0.000,0.005
875,0.008,-0.002
876,0.014,0.019
877,0.027,0.009
878,0.032,0.038
879,0.036,0.023
880,0.030,0.024
881,-0.013,-0.051
882,-0.050,-0.059
883,-0.030,-0.045
884,-0.026,-0.041
885,-0.135,-0.128
886,-0.014,-0.011
887,0.031,0.044
888,0.008,0.009
889,0.032,0.048
890,0.037,0.004
891,-0.277,-0.313
892,-0.062,-0.066
893,0.009,0.011
894,0.060,0.046
895,-0.097,-0.088
896,0.037,0.038
897,0.089,0.086
898,0.059,0.067
899,0.058,0.059
900,0.023,0.023
901,0.045,0.050
902,0.022,0.020
903,0.030,0.028
904,0.068,0.070
905,0.073,0.082
906,0.018,0.024
907,-0.032,-0.016
908,-0.098,-0.074
909,-0.029,-0.017
910,-0.059,-0.049
911,-0.010,-0.002
912,-0.008,0.031
913,-0.001,0.015
914,-0.063,-0.056
915,0.085,0.065
916,0.026,0.018
917,0.032,0.054
918,0.061,0.047
919,0.042,0.032
920,0.039,0.031
921,0.081,0.079
922,0.070,0.047
923,0.056,0.050
924,0.058,0.044
925,0.043,0.045
926,0.029,0.020
927,0.047,0.041
928,0.026,0.019
929,0.024,0.030
930,0.036,0.029
931,0.037,0.039
932,0.024,0.022
933,0.024,0.025
934,0.041,0.035
935,0.074,0.071
936,0.085,0.082
937,0.170,0.169
938,0.042,0.062
939,-0.050,8.987
940,-0.257,-0.003
941,-0.242,0.616
942,-0.047,0.183
943,0.112,0.083
944,0.270,0.307
945,0.244,0.246
946,0.235,0.165
947,0.204,0.178
948,0.081,0.068
949,0.045,0.023
950,0.074,0.050
951,0.015,-0.015
952,0.002,-0.020
953,0.033,0.004
954,0.083,0.065
955,-0.004,-0.031
956,-0.010,-0.074
957,0.035,0.002
958,0.054,0.037
959,0.016,-0.006
960,-0.011,-0.051
961,0.023,-0.009
962,0.023,0.008
963,0.009,-0.056
964,0.055,0.047
965,0.030,0.011
966,0.005,0.799
967,-3.191,-6.284
968,-0.776,-0.876
969,-0.981,-1.290
970,-1.049,-0.767
971,-0.189,-0.443
972,-0.270,-0.289
973,-0.461,-0.982
974,0.015,0.299
975,0.053,0.728
976,0.065,-0.030
977,0.075,0.299
978,-0.306,-0.552
979,-3.110,4.206
980,-0.706,-0.941
981,-0.040,-0.062
982,-0.021,-0.348
983,-0.258,-1.306
984,-0.387,-0.920
985,-0.141,-0.055
986,-0.145,-0.120
987,-0.404,-6.944
988,0.027,0.011
989,-0.046,0.077
990,-0.009,-0.006
991,0.009,0.066
992,0.010,-0.081
993,0.063,0.128
994,-0.011,0.008
995,0.043,0.011
996,0.104,0.103
997,0.123,0.234
998,0.050,0.038
999,0.088,0.121
1000,-0.074,-0.042
1001,0.011,-0.168
1002,0.160,0.174
1003,0.224,0.226
1004,0.242,0.270
1005,-0.012,0.096
1006,0.082,0.289
1007,0.010,0.078
1008,0.029,0.131
1009,-0.210,-0.244
1010,-0.352,-0.488
1011,0.116,0.072
1012,-0.090,-0.144
1013,0.008,-0.045
1014,0.062,0.127
1015,0.033,0.019
1016,0.060,0.059
1017,0.069,0.047
1018,0.065,0.017
1019,0.099,0.077
1020,-0.073,-0.116
1021,0.071,0.052
1022,0.014,-0.077
1023,-0.079,-0.117
1024,-0.016,0.158
1025,-0.091,-0.149
1026,-0.056,-0.235
1027,-0.066,-0.117
1028,-0.157,-0.444
1029,-0.145,-0.092
1030,-0.076,-0.104
1031,0.087,0.110
1032,0.108,0.043
1033,0.045,0.048
1034,0.038,0.115
1035,0.042,0.034
1036,0.087,0.130
1037,0.126,0.187
1038,0.160,0.126
1039,0.168,0.183
1040,0.049,0.081
1041,0.176,0.231
1042,0.286,0.347
1043,0.206,0.231
1044,0.162,0.253
1045,0.274,0.222
1046,0.232,0.188
1047,0.210,0.181
1048,0.031,0.128
1049,0.291,0.313
1050,0.305,0.390
1051,0.019,-0.026
1052,0.034,-0.042
1053,-0.010,-0.022
1054,0.021,-0.110
1055,0.039,0.101
1056,0.052,0.064
1057,0.083,0.086
1058,0.059,0.028
1059,0.080,0.066
1060,0.078,0.039
1061,0.041,0.041
1062,0.057,0.024
1063,0.073,0.095
1064,0.036,-0.027
1065,0.020,-0.065
1066,0.033,-0.017
1067,0.064,0.052
1068,0.089,0.095
1069,0.044,0.015
1070,0.049,0.031
1071,0.002,-0.030
1072,0.032,0.002
1073,0.047,0.012
1074,0.014,0.012
1075,0.029,0.018
1076,0.010,-0.017
1077,0.007,-0.004
1078,0.025,0.025
1079,0.003,-0.009
1080,-0.160,-0.170
1081,-0.168,-0.182
1082,-0.163,-0.187
1083,0.020,0.026
1084,0.045,0.095
1085,0.045,0.026
1086,0.016,0.009
1087,0.038,0.033
1088,0.160,0.019
1089,0.011,0.010
1090,0.104,0.098
1091,0.156,0.154
1092,0.058,0.052
1093,0.115,0.117
1094,0.108,0.092
1095,0.055,0.060
1096,0.075,0.077
1097,0.062,0.036
1098,-0.051,-0.065
1099,0.022,0.007
1100,0.073,0.066
1101,0.044,-0.041
1102,0.061,0.322
1103,0.070,0.024
1104,0.063,0.049
1105,0.023,0.029
1106,-0.024,-0.024
1107,0.143,0.129
1108,-0.762,-0.749
1109,-4.212,-3.972
1110,-0.284,-0.366
1111,0.065,-0.046
1112,-0.195,-0.249
1113,-1.544,-4.897
1114,-0.481,-0.945
1115,0.057,-0.504
1116,-0.004,-0.486
1117,0.061,0.042
1118,0.022,-0.505
1119,-1.457,-2.938
1120,-0.531,-0.671
1121,-0.851,-0.969
1122,-0.461,-1.368
1123,-0.045,-0.032
1124,-0.067,-0.052
1125,-0.118,-0.077
1126,-0.082,-0.055
1127,-0.045,-0.069
1128,-0.088,-0.088
1129,-0.223,-0.197
1130,-0.196,-0.262
1131,-0.320,-0.422
1132,-0.259,-0.241
