,상호명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도
34679,첩첩분식,음식,분식,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 이태원로17길 23-13,126.991179021456,37.5354525956879
34695,이남장용산전자랜드점,음식,한식,서울특별시,용산구,한강로동,한강로3가,서울특별시 용산구 청파로 74,126.959600845599,37.5328899510721
34808,쌍대포숯불소금구이,음식,한식,서울특별시,용산구,청파동,청파동2가,서울특별시 용산구 청파로 291,126.969994054687,37.5455776667731
34817,진미,음식,한식,서울특별시,용산구,보광동,보광동,서울특별시 용산구 우사단로4길 9,126.997204722306,37.5316113924358
34819,큰맘원조할매순대국,음식,별식/퓨전요리,서울특별시,용산구,한강로동,한강로2가,서울특별시 용산구 서빙고로 7,126.965917465518,37.5261064927274
34904,심야식당농도,음식,한식,서울특별시,용산구,용산2가동,용산동2가,서울특별시 용산구 신흥로 41,126.987229455696,37.5421946567071
35155,용가마장어와순대,음식,별식/퓨전요리,서울특별시,용산구,한남동,한남동,서울특별시 용산구 이태원로 222,126.998836297427,37.5348239557491
35195,일신기사식당,음식,한식,서울특별시,용산구,청파동,청파동2가,서울특별시 용산구 효창원로 218,126.963607974719,37.5466571023218
35259,칸,음식,닭/오리요리,서울특별시,용산구,용문동,용문동,서울특별시 용산구 새창로 90-4,126.959028472434,37.5390660728489
35300,떼오도르,음식,커피점/카페,서울특별시,용산구,한남동,한남동,서울특별시 용산구 한남대로42길 31,127.002861517597,37.5435350981981
35361,안뜰,음식,양식,서울특별시,용산구,원효로2동,원효로3가,서울특별시 용산구 원효로 143,126.958888829284,37.53446050458
35472,로지몬스터아이스크림,음식,패스트푸드,서울특별시,용산구,한강로동,한강로3가,서울특별시 용산구 한강대로21나길 7,126.964724267123,37.5297632970146
35514,한강쌀롱,음식,한식,서울특별시,용산구,한남동,한남동,서울특별시 용산구 이태원로54길 34,127.001625981283,37.5369019623562
35648,대박집,음식,분식,서울특별시,용산구,용문동,용문동,서울특별시 용산구 새창로 125,126.961216258892,37.536337153248
35822,홍서희,음식,커피점/카페,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 이태원로27길 38,126.994219718002,37.5356767631571
35904,제주황토골토종흑돼지,음식,한식,서울특별시,용산구,한강로동,한강로1가,서울특별시 용산구 한강대로62나길 11,126.974255096472,37.5343967478097
36030,이자카야진,음식,유흥주점,서울특별시,용산구,한남동,한남동,서울특별시 용산구 대사관로30길 4,127.005478288627,37.5331050143491
36134,다음에또봐,음식,제과제빵떡케익,서울특별시,용산구,한강로동,한강로2가,서울특별시 용산구 한강대로44길 11,126.970669693281,37.5310046488089
36233,헬리오스,음식,양식,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 이태원로 195,126.995645764631,37.5348058739361
36651,롯데리아KKD사업본부,음식,패스트푸드,서울특별시,용산구,남영동,갈월동,서울특별시 용산구 한강대로71길 47,126.971535612816,37.5412751012175
36738,알촌,음식,한식,서울특별시,용산구,청파동,청파동3가,서울특별시 용산구 청파로43가길 14,126.969099371852,37.5439840214985
36889,모모,음식,유흥주점,서울특별시,용산구,한남동,한남동,서울특별시 용산구 이태원로42길 42,127.000918858447,37.5364724895405
36896,잇샐러드,음식,양식,서울특별시,용산구,한강로동,한강로3가,서울특별시 용산구 한강대로21나길 7,126.964724267123,37.5297632970146
36970,카페인시애틀,음식,커피점/카페,서울특별시,용산구,남영동,동자동,서울특별시 용산구 한강대로104나길 4,126.974637193165,37.5502854857257
36996,빅클라스,음식,한식,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 녹사평대로32길 21,126.990106145171,37.5336233102949
37090,시마스시진,음식,일식/수산물,서울특별시,용산구,한강로동,한강로3가,서울특별시 용산구 한강대로21나길 7,126.964724267123,37.5297632970146
37172,정중화요리,음식,중식,서울특별시,용산구,청파동,청파동2가,서울특별시 용산구 청파로47나길 4,126.967036599896,37.5450382365833
37245,미니멀커피,음식,커피점/카페,서울특별시,용산구,후암동,후암동,서울특별시 용산구 두텁바위로1길 61,126.975229073149,37.5467315007626
37257,디저트39,음식,제과제빵떡케익,서울특별시,용산구,남영동,갈월동,서울특별시 용산구 한강대로 305,126.971556150817,37.5455462305628
37276,오늘은열었을거야,음식,한식,서울특별시,용산구,한남동,한남동,서울특별시 용산구 우사단로10길 42,126.99784472444,37.5328242295791
37660,디템포레,음식,양식,서울특별시,용산구,한남동,한남동,서울특별시 용산구 한남대로 37,127.008092397987,37.5322169411704
38016,산카이,음식,유흥주점,서울특별시,용산구,남영동,남영동,서울특별시 용산구 한강대로 292,126.972523679728,37.5443112125887
38300,선인장커피,음식,양식,서울특별시,용산구,한강로동,한강로2가,서울특별시 용산구 새창로 181,126.964969110669,37.5325136326895
38379,알사바페르시안퀸,음식,한식,서울특별시,용산구,이태원2동,이태원동,서울특별시 용산구 회나무로44길 40,126.995378182635,37.5395701367943
38511,리차드카피캣,음식,유흥주점,서울특별시,용산구,한남동,한남동,서울특별시 용산구 이태원로 214-1,126.997888854905,37.5345996681506
38717,포베이,음식,별식/퓨전요리,서울특별시,용산구,한강로동,한강로3가,서울특별시 용산구 한강대로21나길 7,126.963222625326,37.527902979157
38829,원조신선한보쌈,음식,한식,서울특별시,용산구,보광동,보광동,서울특별시 용산구 보광로 63,126.997643581213,37.5292543718436
38837,커피더맨,음식,커피점/카페,서울특별시,용산구,원효로1동,원효로1가,서울특별시 용산구 백범로90라길 25,126.968800314027,37.5385841535253
38840,맛있는집,음식,한식,서울특별시,용산구,남영동,남영동,서울특별시 용산구 한강대로88길 11-15,126.972878709689,37.544827896641
38848,파파존스,음식,패스트푸드,서울특별시,용산구,한강로동,용산동5가,서울특별시 용산구 서빙고로 69,126.972331235072,37.5237026190668
38902,연탄집,음식,한식,서울특별시,용산구,한강로동,한강로2가,서울특별시 용산구 새창로 213-9,126.96785229885,37.5310161000248
38961,술탄터키케밥하우스,음식,양식,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 보광로 126,126.994208041647,37.5340187366333
39040,필리스,음식,유흥주점,서울특별시,용산구,용산2가동,용산동2가,서울특별시 용산구 신흥로 31-1,126.986991383734,37.5413906838281
39168,배스킨라빈스31이태원점,음식,패스트푸드,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 이태원로 176-1,126.993582173204,37.5342837186122
39196,초장집,음식,한식,서울특별시,용산구,한남동,한남동,서울특별시 용산구 대사관로34가길 2-8,127.005336893421,37.531824334663
39378,금탑나주곰탕,음식,한식,서울특별시,용산구,한남동,한남동,서울특별시 용산구 대사관로 58,127.00459369688,37.5332597500883
39585,래리엇,음식,양식,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 녹사평대로40길 51,126.988635534748,37.5344396880512
39587,뮤땅,음식,양식,서울특별시,용산구,한남동,한남동,서울특별시 용산구 이태원로54길 68,127.000977334814,37.5354818318585
39591,오네스토,음식,양식,서울특별시,용산구,한강로동,한강로2가,서울특별시 용산구 한강대로52길 19,126.972250959348,37.5320275926427
39606,본죽,음식,별식/퓨전요리,서울특별시,용산구,이촌1동,이촌동,서울특별시 용산구 이촌로 182,126.967353786359,37.5212173646697
39609,삽다리순대국,음식,별식/퓨전요리,서울특별시,용산구,용문동,용문동,서울특별시 용산구 효창원로42길 29,126.960485125829,37.536024364232
39639,꿀밤포차,음식,유흥주점,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 우사단로14길 3,126.995825010985,37.5340955707619
39646,한남베르그,음식,커피점/카페,서울특별시,용산구,한남동,한남동,서울특별시 용산구 이태원로54길 58-26,127.000533217356,37.5356943252879
39904,타이거에스프레소,음식,커피점/카페,서울특별시,용산구,이태원2동,이태원동,서울특별시 용산구 녹사평대로46길 37,126.988625428344,37.5377013906898
39940,산수화티하우스,음식,커피점/카페,서울특별시,용산구,한남동,한남동,서울특별시 용산구 한남대로20길 21-14,127.008900467376,37.535278280198
40029,스타벅스,음식,커피점/카페,서울특별시,용산구,남영동,동자동,서울특별시 용산구 한강대로 372,126.972909348137,37.5516670854519
40088,바른닭발챨쓰네치즈포차,음식,유흥주점,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 이태원로19길 3,126.991812427992,37.5346290417384
40235,회나무식당,음식,한식,서울특별시,용산구,이태원2동,이태원동,서울특별시 용산구 녹사평대로 238-1,126.987195712091,37.5388334658086
40317,소와나,음식,한식,서울특별시,용산구,한남동,한남동,서울특별시 용산구 이태원로54길 68,127.000977334814,37.5354818318585
40333,블랙버드,음식,유흥주점,서울특별시,용산구,남영동,동자동,서울특별시 용산구 한강대로 391,126.972344160974,37.5532660243352
40376,팻캣,음식,양식,서울특별시,용산구,용산2가동,용산동2가,서울특별시 용산구 신흥로 28,126.987098942618,37.5409681149471
40388,진아네용산포차,음식,유흥주점,서울특별시,용산구,한강로동,한강로2가,서울특별시 용산구 한강대로54길 22,126.972776739607,37.53246466944
40460,명륜진사갈비,음식,한식,서울특별시,용산구,후암동,후암동,서울특별시 용산구 후암로 35-1,126.977403668817,37.5490840581018
40496,237페이지,음식,양식,서울특별시,용산구,이태원2동,이태원동,서울특별시 용산구 회나무로 13,126.988259236827,37.5388425827233
40540,아러바우트,음식,커피점/카페,서울특별시,용산구,한남동,한남동,서울특별시 용산구 대사관로8길 15,127.000825166029,37.5333180295592
40542,크레이트커피,음식,한식,서울특별시,용산구,한남동,한남동,서울특별시 용산구 독서당로 97,127.010778292411,37.5353120463407
40595,카페리움,음식,커피점/카페,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 녹사평대로26길 32,126.991722515863,37.5312223147981
40675,후암회관,음식,한식,서울특별시,용산구,후암동,후암동,서울특별시 용산구 후암로 2,126.978552309309,37.5461836274113
40756,뚱이네닭발,음식,닭/오리요리,서울특별시,용산구,용문동,용문동,서울특별시 용산구 원효로53길 19,126.961892328549,37.5365413283428
40841,다운타우너,음식,패스트푸드,서울특별시,용산구,한남동,한남동,서울특별시 용산구 대사관로5길 12,127.000838912429,37.5348319063607
40883,장원매운갈비찜,음식,한식,서울특별시,용산구,원효로2동,원효로4가,서울특별시 용산구 원효로19길 34,126.953714268011,37.5331082562931
40911,코르소,음식,양식,서울특별시,용산구,한남동,한남동,서울특별시 용산구 한남대로 91,127.002117159118,37.5365547054227
41014,떼오,음식,커피점/카페,서울특별시,용산구,한남동,한남동,서울특별시 용산구 대사관로31길 19-10,127.005359478097,37.5343835022834
41029,배스킨라빈스31,음식,패스트푸드,서울특별시,용산구,이촌1동,이촌동,서울특별시 용산구 이촌로75길 6,126.974348075353,37.5201700231513
41109,최고당돈까스,음식,양식,서울특별시,용산구,원효로1동,원효로2가,서울특별시 용산구 새창로 130,126.961074806529,37.5359304387273
41228,타르틴베이커리,음식,제과제빵떡케익,서울특별시,용산구,한강로동,한강로3가,서울특별시 용산구 한강대로21나길 7,126.963222625326,37.527902979157
41253,바구니네,음식,한식,서울특별시,용산구,원효로2동,원효로4가,서울특별시 용산구 원효로19길 3,126.952075380915,37.5329855990513
41327,팔칠,음식,닭/오리요리,서울특별시,용산구,원효로2동,산천동,서울특별시 용산구 효창원로 8-1,126.950759735211,37.5340191282877
41351,히카리우동,음식,일식/수산물,서울특별시,용산구,효창동,효창동,서울특별시 용산구 백범로 280,126.960266259947,37.5395635418889
41377,뭉실이산도,음식,커피점/카페,서울특별시,용산구,용산2가동,용산동2가,서울특별시 용산구 신흥로 97-6,126.984846532126,37.5451836861117
41411,심플리에,음식,커피점/카페,서울특별시,용산구,남영동,남영동,서울특별시 용산구 한강대로80길 11-17,126.973356388601,37.5430029305652
41412,데이원커피바,음식,커피점/카페,서울특별시,용산구,남영동,남영동,서울특별시 용산구 한강대로76길 11-18,126.973740023223,37.5422583983384
41413,모몽,음식,커피점/카페,서울특별시,용산구,청파동,청파동3가,서울특별시 용산구 청파로43길 24,126.96944377686,37.5436266101679
41436,디초콜릿커피,음식,커피점/카페,서울특별시,용산구,남영동,갈월동,서울특별시 용산구 한강대로 259,126.972391550719,37.5415708874019
